Date,Region,Position,Track Name,Artist,Streams,URL
08/10/2020,Global,1,Mood (feat. iann dior),24kGoldn,37910562,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
08/10/2020,Global,2,WAP (feat. Megan Thee Stallion),Cardi B,31393328,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
08/10/2020,Global,3,Dynamite,BTS,28359094,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
08/10/2020,Global,4,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,28351078,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
08/10/2020,Global,5,Hawái,Maluma,27356602,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
08/10/2020,Global,6,Lovesick Girls,BLACKPINK,26331588,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
08/10/2020,Global,7,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22837971,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
08/10/2020,Global,8,Blinding Lights,The Weeknd,22792468,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
08/10/2020,Global,9,Holy (feat. Chance The Rapper),Justin Bieber,22290608,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
08/10/2020,Global,10,Watermelon Sugar,Harry Styles,21785491,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
08/10/2020,Global,11,Bet You Wanna (feat. Cardi B),BLACKPINK,19722370,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
08/10/2020,Global,12,Wonder,Shawn Mendes,19539978,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
08/10/2020,Global,13,What You Know Bout Love,Pop Smoke,19334015,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
08/10/2020,Global,14,Head & Heart (feat. MNEK),Joel Corry,18917743,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
08/10/2020,Global,15,Ice Cream (with Selena Gomez),BLACKPINK,18833753,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
08/10/2020,Global,16,ROCKSTAR (feat. Roddy Ricch),DaBaby,18565891,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
08/10/2020,Global,17,Laugh Now Cry Later (feat. Lil Durk),Drake,18545397,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
08/10/2020,Global,18,you broke me first,Tate McRae,17428920,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
08/10/2020,Global,19,Savage Love (Laxed - Siren Beat),Jawsh 685,17181311,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
08/10/2020,Global,20,Relación - Remix,Sech,16949234,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
08/10/2020,Global,21,Heather,Conan Gray,16260474,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
08/10/2020,Global,22,Pretty Savage,BLACKPINK,16158235,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
08/10/2020,Global,23,How You Like That,BLACKPINK,16112706,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
08/10/2020,Global,24,Runnin,21 Savage,15864178,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
08/10/2020,Global,25,Mr. Right Now (feat. Drake),21 Savage,15629052,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
08/10/2020,Global,26,Roses - Imanbek Remix,SAINt JHN,14961271,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
