,artistID,name,followers,genres,popularity
0,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,435413,['cali rap'],90
1,6ASri4ePR7RlsvIQgWPJpS,iann dior,769568,"['melodic rap', 'pop rap', 'rap']",90
2,4kYSro6naA4h99UJvo89HB,Cardi B,12871468,"['pop', 'pop rap', 'rap']",93
3,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,2210070,"['houston rap', 'pop', 'pop rap', 'trap queen']",90
4,3Nrfpe0tUJi4K4DXYWgMUX,BTS,23822652,"['k-pop', 'k-pop boy group']",97
5,6MPCFvOQv5cIGfw3jODMF0,Internet Money,134964,"['pop rap', 'rap', 'trap']",88
6,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2550521,"['atl hip hop', 'melodic rap', 'rap', 'trap']",93
7,4Gso3d4CscCijv0lmajZWs,Don Toliver,949444,"['rap', 'trap']",89
8,7rkW85dBwwrJtlHRDkJDAC,NAV,2201805,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",88
9,1r4hJ1h58CWwUQe3MxPuau,Maluma,21189582,"['reggaeton', 'reggaeton colombiano']",95
10,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,15757705,"['k-pop', 'k-pop girl group']",94
11,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2096430,['brooklyn drill'],96
12,5f7VJjfbwm532GiveGC0ZK,Lil Baby,5199669,"['atl hip hop', 'atl trap', 'rap']",95
13,4r63FhuTkUYltbVAg5TQnk,DaBaby,4597058,"['north carolina hip hop', 'rap']",95
14,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,24935297,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
15,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,38505937,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",95
16,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,5017653,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",87
17,6KImCVD70vtIoJWnq6nGn3,Harry Styles,9836890,"['pop', 'post-teen pop']",92
18,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,29372813,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",90
