,trackID,name,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),100,True,140525,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,4
1,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),98,True,187541,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4
2,0t1kP63rueHleOhQkYSXFY,Dynamite,97,False,199053,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
3,7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",87,True,195428,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4
4,1yoMvmasuxZfqHEipJhRbp,Hawái,89,False,199112,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4
5,4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,86,False,192760,0.658,0.733,6,-4.756,1,0.0586,0.00668,0.0,0.118,0.464,127.977,4
6,0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),95,True,190476,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4
7,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,96,False,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
8,5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),94,False,212093,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4
9,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,95,False,174000,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4
10,7iAgNZdotu40NwtoIWJHFe,Bet You Wanna (feat. Cardi B),84,False,159173,0.665,0.674,7,-5.188,1,0.161,0.00386,0.0,0.0734,0.702,111.516,4
11,5KCbr5ndeby4y4ggthdiAb,Wonder,90,False,172692,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,4
12,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,93,True,160000,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4
13,6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),94,False,166028,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4
14,4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),80,False,175813,0.785,0.719,4,-3.886,1,0.354,0.0374,0.000108,0.0519,0.887,159.953,4
15,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),95,True,181733,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4
16,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),95,True,261492,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
17,45bE4HXI0AwGZXfZtMp8JR,you broke me first,94,False,169265,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,4
18,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),94,True,171374,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,4
19,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,93,False,247308,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,4
20,4xqrdfXkTW4T0RauPLv3WA,Heather,94,False,198040,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3
21,1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,83,False,199120,0.695,0.583,9,-6.575,0,0.0423,0.00657,8.75e-05,0.104,0.382,152.001,4
22,4SFknyjLcyTLJFPKD2m96o,How You Like That,83,False,180946,0.812,0.8,11,-4.282,1,0.077,0.0375,0.000112,0.0638,0.357,130.036,4
23,5SWnsxjhdcEDc7LJjq9UHk,Runnin,86,True,195906,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4
24,4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),87,True,193838,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,4
25,2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,82,True,176218,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,4
26,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),93,True,200221,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,4
27,0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),93,False,232253,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,4
